Date,compund,neg,neu,pos,Open,High,Low,Close,Volume
16-Mar-2011,-0.9882,0.222,0.778,0.0,189.76,195.0,189.0,193.88,5105336
17-Mar-2011,-0.8979,0.162,0.743,0.094,196.45,200.75,195.05,199.11,5955934
18-Mar-2011,-0.9825,0.264,0.666,0.07,200.74,202.5,196.0,197.51,3902382
21-Mar-2011,-0.994,0.255,0.716,0.029,196.35,198.8,194.5,196.44,2685122
22-Mar-2011,-0.9677,0.248,0.676,0.076,198.25,200.5,198.0,198.37,1946812
24-Mar-2011,-0.9598,0.199,0.743,0.058,199.88,200.25,198.8,199.82,1753400
25-Mar-2011,-0.9885,0.241,0.709,0.05,203.0,203.24,199.9,200.53,2574849
28-Mar-2011,-0.6555,0.114,0.797,0.09,199.7,202.9,199.7,201.35,1530709
29-Mar-2011,-0.9313,0.185,0.716,0.099,202.5,206.1,202.1,205.37,2922902
30-Mar-2011,0.9555,0.0,0.76,0.24,206.13,206.74,204.61,205.76,1028152
31-Mar-2011,-0.9936,0.243,0.704,0.053,206.25,208.4,205.25,205.78,1909582
01-Apr-2011,-0.9702,0.2,0.698,0.102,206.5,207.0,203.5,205.48,3738474
04-Apr-2011,-0.8688,0.123,0.839,0.037,206.2,207.5,203.26,203.62,1175011
05-Apr-2011,0.8074,0.096,0.729,0.175,204.0,205.4,201.71,204.67,3266936
06-Apr-2011,-0.8997,0.161,0.741,0.099,205.9,207.49,204.51,205.23,3381843
07-Apr-2011,-0.9915,0.336,0.664,0.0,205.6,206.19,203.3,203.8,927249
08-Apr-2011,-0.9756,0.179,0.792,0.029,203.61,206.18,203.5,204.8,1786490
11-Apr-2011,-0.9477,0.156,0.802,0.042,205.49,205.8,203.41,203.82,512352
12-Apr-2011,-0.8296,0.131,0.782,0.087,204.29,204.3,202.0,202.24,1817890
13-Apr-2011,-0.9584,0.209,0.73,0.061,202.6,202.85,198.1,198.8,2070145
14-Apr-2011,-0.9786,0.21,0.733,0.056,198.7,200.3,195.0,195.37,1691832
15-Apr-2011,-0.3612,0.085,0.834,0.081,196.0,198.49,195.51,197.35,1605957
18-Apr-2011,-0.9274,0.151,0.768,0.081,198.0,198.4,195.16,195.53,595605
19-Apr-2011,-0.5423,0.103,0.806,0.091,195.49,195.49,191.26,191.8,1296344
20-Apr-2011,-0.8591,0.16,0.727,0.113,192.51,196.0,191.11,195.26,1579489
21-Apr-2011,0.7783,0.078,0.777,0.145,196.0,198.8,195.11,197.4,1472215
22-Apr-2011,0.1511,0.113,0.752,0.134,197.99,199.0,196.02,196.53,1163568
25-Apr-2011,-0.9657,0.203,0.725,0.071,196.53,197.5,193.25,194.21,744291
26-Apr-2011,-0.8591,0.155,0.772,0.073,193.55,195.5,192.6,194.91,403484
27-Apr-2011,-0.7096,0.093,0.855,0.052,194.51,198.8,194.51,195.03,2209189
28-Apr-2011,-0.9349,0.203,0.681,0.116,195.89,196.4,194.25,195.01,568402
29-Apr-2011,-0.9426,0.247,0.633,0.119,195.8,198.4,195.04,197.46,1482123
02-May-2011,-0.9805,0.219,0.711,0.07,198.99,200.5,197.7,199.14,2097383
03-May-2011,-0.8126,0.131,0.788,0.081,199.01,199.01,196.5,197.23,627951
04-May-2011,-0.9931,0.282,0.661,0.056,197.98,198.25,192.08,192.74,839367
05-May-2011,-0.9509,0.196,0.777,0.027,193.0,195.5,193.0,195.22,624367
06-May-2011,-0.9837,0.324,0.661,0.015,195.0,195.5,192.06,193.82,874011
09-May-2011,-0.4767,0.147,0.732,0.121,194.49,199.5,193.99,198.34,2209758
10-May-2011,-0.9477,0.181,0.775,0.045,199.9,200.0,197.25,198.55,2258979
11-May-2011,-0.7059,0.112,0.815,0.073,198.55,199.65,197.65,198.01,992076
12-May-2011,-0.969,0.176,0.774,0.05,197.8,198.0,196.1,196.29,524716
13-May-2011,-0.9814,0.217,0.747,0.036,195.6,197.69,195.5,196.81,434728
16-May-2011,-0.9485,0.192,0.737,0.071,196.85,196.85,193.81,194.39,305563
17-May-2011,-0.6597,0.146,0.748,0.106,195.5,196.7,194.06,194.2,444836
18-May-2011,-0.9517,0.258,0.633,0.109,194.74,194.8,192.11,192.31,812649
19-May-2011,-0.9869,0.148,0.802,0.05,192.98,193.69,190.62,190.83,1119541
20-May-2011,-0.8225,0.149,0.727,0.124,190.5,192.0,188.55,191.57,1663519
23-May-2011,-0.8432,0.147,0.739,0.114,191.0,192.65,189.15,192.03,1721414
24-May-2011,-0.8779,0.12,0.811,0.069,192.0,193.9,191.5,193.57,560996
25-May-2011,-0.9201,0.118,0.808,0.074,194.37,195.68,193.11,194.73,1113697
26-May-2011,-0.765,0.116,0.823,0.062,195.25,196.0,194.01,194.1,1028146
27-May-2011,-0.9791,0.181,0.761,0.059,194.5,196.0,193.4,195.06,1442861
30-May-2011,-0.8184,0.094,0.87,0.036,195.9,196.44,194.3,194.74,800451
31-May-2011,-0.9638,0.148,0.779,0.073,194.5,195.25,193.51,194.3,485317
01-Jun-2011,-0.9928,0.32,0.61,0.07,194.3,197.99,194.3,197.49,1657118
02-Jun-2011,-0.9888,0.2,0.734,0.066,197.4,198.0,193.0,193.49,1601909
03-Jun-2011,-0.9936,0.32,0.68,0.0,193.89,194.75,189.8,192.04,1782809
06-Jun-2011,-0.9814,0.167,0.802,0.031,189.0,191.88,188.0,190.01,716863
07-Jun-2011,-0.9922,0.203,0.771,0.027,190.49,194.24,189.66,193.18,3700948
08-Jun-2011,-0.9686,0.187,0.795,0.018,194.0,194.65,191.75,192.17,3239428
09-Jun-2011,-0.9744,0.192,0.748,0.06,192.4,193.05,189.0,189.41,3500430
10-Jun-2011,-0.9643,0.183,0.738,0.08,189.75,190.05,187.42,187.75,1634857
13-Jun-2011,-0.9855,0.208,0.762,0.03,188.07,188.07,181.1,183.21,2326997
14-Jun-2011,-0.9122,0.136,0.815,0.05,183.75,186.55,183.15,185.41,1270647
15-Jun-2011,-0.9906,0.316,0.663,0.021,186.57,186.57,183.2,183.59,811592
16-Jun-2011,-0.9857,0.223,0.726,0.051,183.65,183.9,179.65,180.05,2020914
17-Jun-2011,-0.9583,0.162,0.796,0.042,180.98,181.5,177.25,177.78,1390393
20-Jun-2011,-0.9872,0.268,0.69,0.042,178.39,178.39,168.9,168.9,6840530
21-Jun-2011,-0.875,0.194,0.71,0.096,168.9,168.9,163.1,167.94,6864055
22-Jun-2011,-0.9764,0.211,0.699,0.09,168.15,169.16,159.63,162.46,5246790
23-Jun-2011,0.9517,0.082,0.723,0.195,162.9,170.58,162.9,170.36,5720447
24-Jun-2011,-0.1045,0.107,0.79,0.103,170.99,173.2,168.0,169.31,5810000
27-Jun-2011,-0.8779,0.157,0.785,0.059,168.1,168.9,163.01,163.91,1931285
28-Jun-2011,-0.8176,0.101,0.872,0.027,163.0,163.48,159.75,161.21,1566331
29-Jun-2011,-0.9842,0.272,0.659,0.07,161.6,165.5,160.5,160.88,2114436
30-Jun-2011,-0.8929,0.17,0.733,0.097,161.5,164.5,160.1,163.25,2639040
01-Jul-2011,-0.1779,0.095,0.808,0.097,163.99,164.7,161.4,161.72,1018057
04-Jul-2011,0.0258,0.1,0.799,0.101,162.24,162.7,155.0,160.4,4175620
05-Jul-2011,-0.9719,0.187,0.74,0.073,160.7,162.6,159.06,160.19,1710550
06-Jul-2011,-0.8341,0.118,0.788,0.094,161.0,163.4,159.2,162.02,3067119
07-Jul-2011,-0.9876,0.225,0.765,0.009,162.7,163.73,160.03,160.46,2597152
08-Jul-2011,-0.9826,0.232,0.691,0.078,160.0,161.45,159.61,160.4,1307980
11-Jul-2011,-0.9849,0.186,0.766,0.049,160.65,161.7,157.71,158.96,1434516
12-Jul-2011,-0.9874,0.256,0.693,0.051,158.96,159.97,158.3,159.17,787302
13-Jul-2011,-0.967,0.212,0.716,0.073,159.9,161.2,159.35,159.48,2265966
14-Jul-2011,0.5792,0.112,0.733,0.155,158.97,159.25,155.45,155.94,1363447
15-Jul-2011,-0.2342,0.134,0.747,0.119,155.94,158.15,150.1,151.42,2439328
18-Jul-2011,-0.4939,0.074,0.87,0.056,152.5,153.96,149.75,150.98,1569452
19-Jul-2011,-0.9796,0.193,0.773,0.034,152.0,154.45,148.75,153.61,2941192
20-Jul-2011,0.1531,0.117,0.748,0.136,153.48,153.59,151.15,151.71,1113149
21-Jul-2011,-0.9335,0.178,0.769,0.053,151.7,153.2,150.8,151.93,675686
22-Jul-2011,-0.8934,0.161,0.74,0.1,152.22,153.3,151.3,151.59,436052
25-Jul-2011,-0.9744,0.171,0.785,0.043,151.65,151.65,148.0,148.51,915636
26-Jul-2011,-0.9062,0.161,0.75,0.09,149.0,150.7,147.26,147.63,1160496
27-Jul-2011,-0.7579,0.096,0.873,0.031,147.55,148.0,143.7,144.06,1366624
28-Jul-2011,-0.5994,0.124,0.768,0.107,144.1,146.64,139.2,142.38,2695434
