Symbol,Date,Open,High,Low,Close,Volume
HBL,18-May-2020,98.01,98.01,96.11,97.31,845984
HBL,19-May-2020,96.51,99.74,96.50,98.66,1438689
HBL,20-May-2020,98.65,98.65,97.21,97.51,527046
HBL,21-May-2020,98.37,98.37,97.00,97.30,610771
HBL,28-May-2020,97.01,97.50,95.01,95.76,1094228
HBL,29-May-2020,96.99,98.00,95.25,96.32,2144182
HBL,01-Jun-2020,96.61,98.88,96.01,97.99,1715357
HBL,02-Jun-2020,98.00,103.25,97.61,101.81,5783412
HBL,03-Jun-2020,102.50,103.70,100.15,100.69,3335089
HBL,04-Jun-2020,100.69,101.00,99.35,100.00,1805623
HBL,05-Jun-2020,100.00,100.94,99.55,100.36,483742
HBL,08-Jun-2020,100.36,102.70,99.21,101.48,2246527
HBL,09-Jun-2020,102.00,103.00,100.61,102.12,5320915
HBL,10-Jun-2020,101.99,105.68,100.85,104.99,3483159
HBL,11-Jun-2020,105.00,105.52,103.25,103.53,2211304
HBL,12-Jun-2020,102.50,102.50,100.11,100.65,1705182
HBL,15-Jun-2020,101.00,101.00,98.25,98.85,1078744
HBL,16-Jun-2020,98.26,100.50,98.26,99.45,418642
HBL,17-Jun-2020,100.50,101.75,97.50,98.56,3118675
HBL,18-Jun-2020,99.71,99.95,98.75,99.42,504700
HBL,19-Jun-2020,100.00,100.00,97.50,98.75,421512
HBL,22-Jun-2020,99.00,99.25,97.00,98.78,825369
HBL,23-Jun-2020,99.00,100.00,98.25,98.92,700348
HBL,24-Jun-2020,98.98,99.50,97.75,97.94,524210
HBL,25-Jun-2020,98.25,98.25,96.50,97.13,653603
HBL,26-Jun-2020,97.00,97.49,95.50,96.03,771462
HBL,29-Jun-2020,96.00,96.59,95.26,95.86,1154798
HBL,30-Jun-2020,96.10,98.00,95.74,96.87,4182603
HBL,01-Jul-2020,96.80,96.90,95.80,96.22,876566
HBL,02-Jul-2020,96.88,98.10,96.02,97.02,2515270
HBL,03-Jul-2020,97.25,98.40,97.02,97.84,531752
HBL,06-Jul-2020,98.50,99.00,97.25,98.24,530812
HBL,07-Jul-2020,98.50,99.80,98.10,98.74,2039298
HBL,08-Jul-2020,98.60,103.90,98.60,103.35,6312584
HBL,09-Jul-2020,104.97,107.00,104.60,106.77,2415828
HBL,10-Jul-2020,106.65,107.78,105.02,106.49,1030766
HBL,13-Jul-2020,108.00,109.50,106.46,106.75,3169809
HBL,14-Jul-2020,107.60,108.50,106.50,107.19,1079894
HBL,15-Jul-2020,107.87,107.88,106.10,107.15,588978
HBL,16-Jul-2020,109.00,109.41,107.15,109.12,1303823
HBL,17-Jul-2020,109.79,110.30,108.00,108.29,931591
HBL,20-Jul-2020,109.00,110.90,108.01,108.74,1795399
HBL,21-Jul-2020,109.00,110.98,108.81,110.20,3830079
HBL,22-Jul-2020,110.51,112.00,108.50,111.04,2710415
HBL,23-Jul-2020,112.00,114.01,110.50,111.10,2556680
HBL,24-Jul-2020,110.70,119.43,108.60,116.07,8339975
HBL,27-Jul-2020,118.00,122.80,116.50,122.01,3882172
HBL,28-Jul-2020,122.80,125.35,122.05,123.32,2138733
HBL,29-Jul-2020,124.68,124.70,120.26,121.19,1447005
HBL,30-Jul-2020,121.95,123.00,120.61,122.53,715589
HBL,03-Aug-2020,122.53,129.48,121.00,127.53,2711884
HBL,04-Aug-2020,127.90,133.50,127.05,128.02,3657284
